CCS-2016-01,"Geolife: A collaborative social networking service among user, location and trajectory.",http://sites.computer.org/debull/A10june/geolife.pdf,Bulletin of the IEEE Computer Society Technical Committee on Data Engineering,2010,No,No,\,\,\,\,Yes,"Geolife data was collected from 182 users in a period of over three years. It recorded a wide range of usersâ€™ outdoor movements, represented by a series of tuples containing latitude, longitude and timestamp.",No,No,\,Unchanged,,,Yes
CCS-2016-02,On the Security and Performance of Proof of Work Blockchains,https://dl.acm.org/authorize.cfm?key=N14231,CCS,2016,No,No,"\",\,\,\,No,\,\,\,\,,,,
CCS-2016-03,A Secure Sharding Protocol For Open Blockchains,https://dl.acm.org/authorize.cfm?key=N14232,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-04,The Honey Badger of BFT Protocols,https://dl.acm.org/authorize.cfm?key=N14233,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-05,Differential Privacy as a Mutual Information Constraint,https://dl.acm.org/authorize.cfm?key=N14234,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-06,Advanced Probabilistic Couplings for Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14245,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-10,Differentially Private Bayesian Programming,https://dl.acm.org/authorize.cfm?key=N14246,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-12,Strong Non-Interference and Type-Directed Higher-Order Masking,https://dl.acm.org/authorize.cfm?key=N14240,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-13,Private Circuits III: Hardware Trojan-Resilience via Testing Amplification,https://dl.acm.org/authorize.cfm?key=N14242,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-14,On the Instability of Bitcoin Without the Block Reward,https://dl.acm.org/authorize.cfm?key=N14243,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-16,Transparency Overlays and Applications,https://dl.acm.org/authorize.cfm?key=N14244,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-17,Mix&Slice: Efficient Access Revocation in the Cloud,https://dl.acm.org/authorize.cfm?key=N14358,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-20,Safe Serializable Secure Scheduling: Transactions and the Trade-Off Between Security and Consistency,https://dl.acm.org/authorize.cfm?key=N14359,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-21,Town Crier: An Authenticated Data Feed for Smart Contracts,https://dl.acm.org/authorize.cfm?key=N14352,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-22,The Ring of Gyges: Investigating the Future of Criminal Smart Contracts,https://dl.acm.org/authorize.cfm?key=N14353,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-23,Prefetch Side-Channel Attacks: Bypassing SMAP and Kernel ASLR,https://dl.acm.org/authorize.cfm?key=N14360,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-24,Breaking Kernel Address Space Layout Randomization with Intel TSX,https://dl.acm.org/authorize.cfm?key=N14361,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-25,Enforcing Least Privilege Memory Views for Multithreaded Applications,https://dl.acm.org/authorize.cfm?key=N14362,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
CCS-2016-26,Improvements to Secure Computation with Penalties,https://dl.acm.org/authorize.cfm?key=N14363,CCS,2016,No,No,\,\,\,\,No,\,\,\,\,,,,
