tf-idf,word
5.290459441148391,"0.2b	000webhost	06/11/2014	1,012,923	1,015	1,140	1,176	1,254,102	1,351,852	1,493	1,591	1,602	1,649	1,781,962	1,845,346	1,889	1-hop	1000,209	102,404	11/4/13	11483	12,418	12,571	12306	13,345	13,991	136k	14,644	1416	145,243	14b	15,304	156,608	16,173	161,510	169,502	16this	170,860	1784	18,19,25,47	1821	18k	195,560	196,591	19m	1_r1	2,064	2,065	2,200	2,294	2,667	2,878,454	2,950	20,026	20,416	20112014	2013-06-17	20130723	2015-08	2016-01	2016-03	2016-05-01	20pps	21,000	21-31	214,078	23,519,493	24,015	24m	2622	26kbps	286,000	294258	3,275,635	3,437	3,590	3,654	3,804	3,883	3.1scalingwecollectedalargerdatasetof1,600programmersfromvariousyears	30-45	300k	302938	3136	324,313	33,045	33-50	34,893	354,986	358019	361	366	38,688	395326000	39824	3gs	3m	4,524	4,857	4,912,142	42,042	42,902	45,271	47,940	482,657	5-order	51job	52,986	52680	55gb	568,134	573,258	58,228	58389	59,928,920	59130	6,040	6-month	6.6m	60,000	60,856	639,283	647	65302	66,785,451	68,193	6885	69k	6as	6tb	7-month	70-cent	71,000	730	738,479	759,273	768m	8001000	871,911	9,409	9,944	900k	91,464	92,725	950,327	958	96,995	96gb	aaaa	acfg	acfgs	acqui	add-on	adsl	affiliated	akamai	alexa8	alexas	amppot	anycast	apex	api1	app-level	archipelago	archived	ardilla	ark	asn	asns	atlas	attack-detection	attack-enabled	attracting	attribution	audacious	autoreb	awstats	b-root	bar-based	barfinder	bayesdroid	bff	biological	black-market	blog9	bluecava1	bonus	brahmastra	brightkite	busybox	caida	caidas	categoriza	cbsp	cbsp-protected	cdn	cdns	cellaneous	census	chainsaw	chargen	chicago	childrens	cifar-10	cipients	cloudpiercer	collector	console-based	contagio	contestant	coppa	coreutils	countant	crawdad	craxweb	credal	crowdturfing	csdn	csf00csf14	cspautogen	cup	curiosity1	curiosity2	curiosity3	cybercrimi	cycled	damballa	darkly	database8	dataset11	dataset9	datasets2	days4	dbl	densely-populated	depositing	ditl	dkim	dnna	dns-oarc	dnza	dodonew	dom-based	doorway	dormant	dos_dns_amplification-20130617	drive-by	drive-by-download	dropbear_2014	earlier2	easeandroid	easylist	easyprivacy	economical	email-sending	epicrec	ericsson	eschweiler	exploit-db	exploits7	f-droid	facturing	farming	feh	feret	fiddler	first-stage	flawfinder	flowstitch	focussing	four-year	frained	friends-of-authors	frontal	fsbspy	gaze	gelite2	geo-location	geographically-dispersed	geoip	geolite	geolocating	getbulk	goodset	gowalla	grou	grouplens.org/datasets/movielens	gse61741	hcup	hic	hics	homepage	honeypages	hornyack	hulk	hus	ianas	ifornia	imagemagick	infiltrating	info/tags	infolink	inpatient	install-base	interface-level	internet-wide	interview	ioc	iovation2	ip-level	ip-to-as	iplane	iplanes	ipv4-address-space-wide	ipv6	irb-approved	irc-based	isi	it16ws	it17ws	it55w	italia	itdk	ixp	javascript-capable	journalist	jp-dns	jpeg	kazakhstan	kchat	kosarak	lcom/facebook/android/facebook	leaseweb	lexical	libkqtime	libreoffice	libscout	linode	location-based	longitude	m-root	m-roots	mad	malte	marchjuly	maroc	matroska	mavroforakis	mawi	maxmind	mayjuly	mda	meek-amazon	meek-google	meeka	meekg	metropolitan	milking	mneex	mnegenex	mneper	mneperex	mnist	mone	morocco	movielens	movielens1	mtas	myspace	nameserver	nameservers	nasa	national-level	netapp	netbios	netra	network-related	nexginrc	nibus	nlp	noc4hosts	nocrack	non-bank	non-evasive	non-monitored	non-obfuscated	nontor	nord=1	novem	nreapers	o0	obfs3	obfs4	obfsproxy3	obfsproxy4	oec10	oo	opencv	openioc	openipmap	origin-exposing	origin-exposure	ott	overt	oyente	p08s	p15	paigns	paris	paris-traceroute	parked	parking	passivedns	pastebin	pbvault	peered	peeringdb	phantomjs	phishtank	phoenix	phpbb	pii-000webhost	pii-associated	pii-dodonew	plcs	plens	plifiers	postscript	predator	printer	productsprimarily	psr	publicly-visible	pudf	pws	q=ip+address	qotd	quantcast	r-isp	rapid7	rapid7s	rar	rcs	reachability	recsys	redis7	religious	request10	rer	residency	residential	retweet	reverse-lookup	review-level	rib	rir	rirs	roma/taxi	roth-peranson	routeviews	russian	saad	salary	scada	scraped	screenos	sec11	sedac	selenium	self-managed	self-submitted	sentence	seo	servers11	servers2	set-valued	sever	sideloaded	sigcomm-cosn-members	similarity-based	sing	single-homed	sinspector	slitheen	social-neighborhood	sonar	sop-related	sound-proof	spamhaus	spammer	spandex	spatio-temporal	spf	spitz	spitzloc	spitztime	spreadsheet	ssdp	ssoscan	stereo	store4	sub-pages	subscribed	supervisory	surbl	sympo	telemetry	television	terabits/sec	threatmetrix3	ticipating	tinctive	tization	tld	to-organization	top-site	topolo	topologically	tora	torb	torc	torrent	total9	tower	tracebox	traces3	tracking-protection	tree-likeness	trending	trustmanager	trustmanagers	ubuntu-specific	ubuntus	uci	ucsd-nt	unclassified	understudied	unicast	unisan	unsampled	untainted	urban	uribl	usc-lander	user-submitted	ventions	verisign	versities	virustotal	voicelive	vusc	warningbird	webkit-based	weibo	well-respected	wepawet	withdrawing	wot	wuc	xato	yelp2	zgrab	zgrab/zmap	zxcvbn"
4.8849943330402272,"1,250	1060	15,000	16th	1e+06	20th	30,000	323	460	4g	55,000	5we	614	643	655	689	783	8,000	928	adult	alyzed	amine	anonymized	anti-virus	aol	arbor	attack1	authoritative	best-effort	bgp	biasing	bing	blame	celebrity	check-in	cnn	complaint	consolidate	cubic	cumu	data-oriented	december	demic	detour	diego	dierent	diverge	dwindled	eckersley	enron	evasive	finder	foursquare	france	gambling	gene	geoff	gerprinting	gestion	globe	gory	grammable	hacked	headless	honeypot	hospital	ht	inflation	interviewed	irc	italy	japan	jessie	joined	journalistic	jun	june	kid	kingdom	lative	layout-based	libs	liked	longitudinal	lower-bound	luxury	mascot	mensions	miscreant	mization	monetization	mp3	msrc	navigated	netflow	network1	niche	non-free	nt	obfuscator	obfuscators	obsolete	offensive	ommended	one-week	onion	org	orleans	packet-level	password-guessing	pch	peering	pewny	playlist	pluggable	politician	portal	prescription	privacy-related	proxying	publicly-available	readiness	recruiting	redirections	regional	rekeying	renderer	resolvers	ripe	rockyou	routed	router-level	second-order	servative	shodan	sium	sketching	snmp	sso	stanford	storefront	sued	supplement	suspension	switzerland	sybillimit	telecom	telescope	telnet	texas	time-series	traceroutes	tracker	uary	undermines	usc	user-selected	vault	vccs	velocity	vocal	x-y	yelp	zip	zmap"
4.5973122605884456,"1049	120,000	1219	1622	184	296	344	360	442	5-minute	603	630	aca	adop	alexa	announcing	annual	anomalous	apr	as	assemble	authorize	autonomous	az	blamed	blaster	bucket	campaign	comprehensively	crawl	crawled	crawler	crowdsourcing	delegation	demographic	deserves	e-commerce	e-mail	echo	engaged	exclusion	fabricating	first-order	francisco	geolocation	grounded	habit	hinders	icmp	ims	ine	interleaf	investigates	iors	ipv4	jp	keller	lations	latitude	lyzed	mailbox	metasploit	michigan	minnesota	mobility	monthly	movie	mplayer	nationwide	non-existent	o3	pcap	per-flow	planetlab	political	proactive	questionable	quirk	replied	riod	risky	school	searchable	sentative	sixteen	sloc	sop	sugges	tact	totaling	traceroute	ttl	turk	tweaking	u3	uninitialized	uploaded	ured	v6	vertising	vey	vp	vps	wallet	webmail	whois	wikipedia	wired	withdrawal	www"
4.3741687092742358,"163	168	20,000	25,000	25th	368	3k	416	470	490	530	5http	718	abling	advertise	amplifier	announcement	april	asm	attachment	biggest	biometric	blacklisted	border	brand	cam	chat	city	cluded	competitor	console	corpus	counterfeit	crawling	dict	dig	discharge	distinctive	downstream	editing	endorsed	exhibiting	feb	firm	forwarded	front-end	fte	geo	harvesting	illicit	in-the-middle	inten	iphone	jam	lib	manu	merges	nov	ntp	numbered	ology	om	pability	persistence	pii	popu	qualitative	quantitatively	ranked	recruited	registrar	rewarded	road	rootkit	rtt	searcher	sect	september	storm	suspi	thou	timeline	u2	usa	viewer	viewing	volunteer	web-based	webservers	weekly	zons"
4.1918471524802818,100k	154	157	175	188	199	247	394	518	580	640	833	accumulating	acoustic	acquisition	activ	advertised	application-layer	bulletin	california	cd	chromium	classi	clicking	client/server	collapse	congestion	continually	csp	cve	descending	dimen	dropbox	drug	eling	emulator	english	expands	fuzzer	geographic	geographical	github	gmail	heterogeneous	idation	iframes	intelligence	july	labeling	logins	mated	merit	multipath	naming	optical	pant	partici	pb	pu	publishing	radiation	rating	redirecting	repository	salient	sb	scanner	schema	sight	svm	timization	tinct	up-to-date	wave	worm	yahoo
4.0376964726530229,100000	164	186	260	3des	443	5000	8.4	8k	addressable	administered	advertising	analyse	analyst	appearance	archive	associ	backbone	blog	browse	categorize	categorized	commits	competition	comprising	consisted	dark	ddos	debian	deposit	devised	escalation	ethical	factory	fin	forum	fraud	historical	hosting	info	intervention	mail	mar	mined	n3	p2p	perimental	php	posted	printing	probed	publishes	rank	rated	regarded	registry	remarkable	rigorously	spam	sql	surement	surements	sweep	sybil	syntactic	ton	top-level	trast	ultimate	united	workstation	x86-64
3.9041650800285006,10k	125	129	181	2002	2004	209	2500	450	alias	antenna	audit	august	blacklist	botnet	campus	characterizing	chinese	cho	ciphersuites	collusion	conflicting	corrected	country	defect	dialog	downloads	erating	expansion	experimented	explores	february	german	institution	iot	isp	isps	landing	listening	march	meter	negotiate	news	nexus	november	o1	owns	recognizing	retaining	revision	san	scaled	shadow	spatial	ssh	stamp	stealing	surveyed	synthetic	tv	twitter	username	zone
3.7863820443721172,166	1m	accidentally	adobe	advertisement	assessment	assist	cid:15	conference	ded	excep	federal	finger	fuzzing	hierarchical	international	iterate	iv-b	ix	jan	keystroke	lected	lenge	machinery	nals	outsourced	paid	paying	periments	phishing	population	purchase	puter	rendered	sand	sdk	searched	shed	simu	tivity	tom	trained	visibility	visiting	voice	wild
3.6810215287142909,"144	2048	5,000	advice	ama	appearing	asking	avg	bers	brought	cert	corporation	deliberately	descriptor	documentation	employee	encourage	enumeration	equipment	ethereum	exclusive	histogram	infected	inline	isting	january	kit	ni	o2	plane	prevalence	reachable	redirection	secondary	sep	station	sur	testbed	thereafter	till	trap	tremendous	tropy	u1"
3.5857113489099661,159	1st	2003	226	81	900	administrator	ana	article	audio	avenue	bot	collaboration	continued	currency	cyber	datasets	demonstration	downloaded	ecosystem	endpoint	engage	esti	examining	exercise	familiar	fetched	jects	manufacturing	mechanical	nerabilities	operated	pact	prerequisite	relied	score	suspected	transac	unix	vantage	wanted
