Muwei,From Facepalm to Brain Bender: Exploring Client-Side Cross-Site Scripting,http://dl.acm.org/citation.cfm?doid=2810103.2813625,CCS,2015,No,Existing,Alexa Top 10K domain list,No,No,/,Research,Macro-level Internet Characteristics,Applications,
Muwei,The SICILIAN Defense: Signature-based Whitelisting of Web JavaScript,http://dl.acm.org/citation.cfm?doid=2810103.2813710,CCS,2015,No,Existing,Alexa Top 500 Websites,Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,
Muwei,Certified PUP: Abuse in Authenticode Code Signing,http://dl.acm.org/citation.cfm?doid=2810103.2813665,CCS,2015,No,Existing,VirusShare,Yes,No,https://virusshare.com,Industry,Attacker Related,Attacks,
Muwei,Certified PUP: Abuse in Authenticode Code Signing,http://dl.acm.org/citation.cfm?doid=2810103.2813666,CCS,2015,No,Existing,We also obtain from Italian collaborators a dataset of unlabeled older samples and collect a small dataset of samples with encrypted network traffic,No,No,/,Research,Attacker Related,Attacks,
Muwei,Certified PUP: Abuse in Authenticode Code Signing,http://dl.acm.org/citation.cfm?doid=2810103.2813667,CCS,2015,No,Existing,Malicia,Yes,No,http://link.springer.com/article/10.1007/s10207-014-0248-7,Research,Attacker Related,Attacks,
Muwei,Certified PUP: Abuse in Authenticode Code Signing,http://dl.acm.org/citation.cfm?doid=2810103.2813668,CCS,2015,No,Existing,CCSS Forum certificate blacklist,Yes,No,http://www.ccssforum.org/,Research,Attacker Related,Attacks,
Muwei,MalGene: Automatic Extraction of Malware Analysis Evasion Signature,http://dl.acm.org/citation.cfm?doid=2810103.2813642,CCS,2015,No,Existing,"For the evaluation of our system, we re- ceived 3,107 evasive samples identified by the BareCloud",No,No,previous paper BareCloud: Bare-metal Analysis-based Evasive Malware Detection,Research,Attacker Related,Attacks,
Muwei,Drops for Stuff: An Analysis of Reshipping Mule Scams,http://dl.acm.org/citation.cfm?doid=2810103.2813620,CCS,2015,Yes,Existing,"During this time we obtained a comprehensive and detailed dataset on seven reshipping scam websites and their operations, spanning from 2010 to 2015",No,No,/,Industry,Attacker Related,Cybercrime Infrastructure,
Muwei,Android Root and its Providers: A Double-Edged Sword,https://dl.acm.org/citation.cfm?id=2813714,CCS,2015,No,Existing,Exploit DB database,Yes,No,https://exploit-db.com/,Industry,Attacker Related,Exploits,
Muwei,Android Root and its Providers: A Double-Edged Sword,https://dl.acm.org/citation.cfm?id=2813714,CCS,2015,No,Existing,It's Bugs All the Way Down,Yes,No,http://vulnfactory.org/,Research,Attacker Related,Exploits,
