freq,words
23.469472290035554,the
13.333492712695827,and
13.245622506611388,dataset
11.450024139320286,from
11.147186803250188,data
10.438105217281672,our
8.401337816654014,collected
7.889854673308185,for
7.364674473765974,datasets
6.590488312672599,top
6.070866890785416,use
6.0079099795137845,domain
5.515933804415937,alexa
5.42565270934107,used
5.325446156303658,with
5.321981864546213,set
4.954178437652482,that
4.917266051817374,list
4.634232023317498,user
4.576248716644768,this
4.532079039134595,address
4.308203497240738,dns
4.249298750409151,password
4.108791062908936,database
4.001657252944356,which
3.977144242019683,two
3.757907819651845,website
3.7448725873891124,total
3.732619185814499,were
3.7086157880211794,collect
3.6161706596718854,apps
3.5606696231917816,are
3.5377989117406945,experiment
3.509021045385492,scan
3.4959110210556235,first
3.456879912697154,million
3.449715719206311,each
3.4479486266716166,site
3.441299929565476,collection
3.425563281434205,email
3.416066421679048,server
3.2057193880616257,attack
3.188278966491186,over
3.1832587545094895,different
3.157720157469879,analysis
3.1548601887002414,popular
3.1419900095658773,using
3.1259821652003135,their
3.041001273005675,all
2.994705359073591,month
2.926500897449815,service
2.914079014659901,exploit
2.898740638429056,web
2.893026638045465,file
2.858387286106773,these
2.8493075839062527,application
2.838441592804133,vulnerability
2.830414347119247,january
2.813913122124063,section
2.776518345062207,contains
2.768829259683206,result
2.756963029999917,security
2.6827273883579665,order
2.672233585207189,log
2.6614988451789494,http
2.6073238579167226,crawler
2.579706312021927,page
2.494622627822942,number
2.492428581795205,three
2.477843787489896,network
2.469743776450402,found
2.425861366875965,study
2.41319870266119,"5,000"
2.3861374293345716,online
2.368078950308782,table
2.323838313747548,them
2.2626485049714287,information
2.2540584500733485,project
2.253777064420155,certificate
2.242669458217228,feed
2.2059987408187722,truth
2.19954888706835,about
2.1975092144642216,unique
2.193817935790888,android
2.190087482947837,malicious
2.18589962041448,evaluate
2.1648405310053676,december
2.1648083756366487,year
2.164299338850453,ground
2.1467236572145567,one
2.138201751374315,real
2.129218254582342,ipv4
2.1157858150459328,system
2.080632571637159,traffic
2.051927632862748,large
2.0207738721839075,also
2.0094141562509646,sample
2.0060530523737827,ssl
2.001635078514088,repository
1.9935974353685404,measurement
1.9914720738896032,trace
1.9896487075710256,reported
1.9786583725201434,between
1.9769283990651967,google
1.9731670035759155,public
1.9682221693597513,more
1.9585565060680348,research
1.950409749646504,during
1.9329346278975679,various
1.9255190508298297,have
1.906672101751433,including
1.8930384222120877,ipv6
1.8880414331343902,crawled
1.8859209599558187,test
1.8805724755305042,image
1.8778054021790005,than
1.8760905772186867,spam
1.8716966226266396,internet
1.8636732564255514,paper
1.8506798071093762,five
1.8364156977291073,evaluation
1.8334602488375484,malware
1.8331292029254154,available
1.8147909642723397,company
1.8030251395788512,code
1.7977808826360595,obtain
1.7824348371420797,how
1.7678088432127093,evaluated
1.7395003084929999,prefix
1.7308897990437206,record
1.7259790762472185,consists
1.7207665020961824,four
1.7156044667326076,3.1
1.7117917735608268,real-world
1.7112454107212003,find
1.699259259381415,behavior
1.6904688154175234,url
1.686645343354727,change
1.6847769752182127,amount
1.6655022459808257,period
1.647420447683242,policy
1.6461801333990362,request
1.6391975426162855,relationship
1.6320706388760655,created
1.6166729886598983,time
1.6155060641437524,well
1.5938446274472395,caida
1.5865478838223277,source
1.573728564473141,normal
1.5533265009411894,jan
1.5230924449118735,october
1.5177064644187033,obtained
1.5152672751222571,selected
1.4957586605207944,methodology
1.4896502893846661,analyzed
1.4865229934669146,function
1.4858169277315116,publicly
1.4840532451158626,through
1.4822576961261114,packet
1.4654103326565384,botnet
1.462381508917905,following
1.4623736334263973,host
1.455369733058637,comparison
1.45526735907944,version
1.4416735242312526,other
1.4412427622500674,planetlab
1.4229541747295502,social
1.4144860700484503,observed
1.4085609744920062,identified
1.4020034851000316,conducted
1.4001627603835847,training
1.3969306913304314,performed
1.3786985914535885,account
1.3757318165763401,received
1.3745493296572735,based
1.3714581085193371,software
1.358253714534999,"10,000"
1.3574943673444801,build
1.3539912801534806,not
1.3524850616242787,only
1.3411382466807378,english
1.3385173557733987,commits
1.331290752033379,posted
1.325349508509642,caidas
1.3193175629798266,crawl
1.3047013740281126,made
1.292742459128549,end
1.290275443465772,distinct
1.2839794237517677,same
1.2837896091310805,exploit-db   exploits7   metasploit
1.2826550011405,business
