reason,type,keyWord,,
"I am requesting this information to compare current locations of fiber optic cables with historical locations of Crude Oil Pipelines in Pennsylvania. This is related to my current PhD work at UCSC. My PhD program (Film and Digital Media) is a praxis based program; my work amounts to theoretical and critical analysis, as well as practice based visual work. Thank you.",thesis, phd,,
We aim to design protocols for encrypted and distributed computation of aggregate network statistics. Network security such as anomaly detection can be benefited if several data owners can aggregate their private data to jointly perform a computation. Our goal is to exploit secure multi-party computation (MPC) techniques to enable encrypted and distributed computation of aggregate network information. This project forms an important part of my PhD-thesis research and getting access to real-world datasets will significantly benefit my research.,thesis, phd,,
"hiI'm a Ph.D. candidate at Rensselaer polytechnic institute and my research is in anomaly detection to identify cyber threats in large networks. This work can greatly benefit from this dataset, and I appreciate you making it available to the research community. Thanks.",thesis, ph.d,,
Trying to develop a distributed collaborative method for detecting the DDoS attacks. Will analyze the features from the trace file to see whether a set of features can be extracted. PhD-thesis research  ,thesis, phd,,
To evaluate approaches to path prediction for my phd-thesis research,thesis, phd,evaluation, evaluat
Need sample dataset to compare with my user modelling framework for my master thesis.,thesis, thesis,,
Need to learn and perform graph based data analysis in cyber security domain for my Master's thesis. ,thesis, thesis,,
Evaluate new approaches using tensor decomposition for attributing cyberthreats to virtual actors for Astrolavos Lab's Ph.D. students,thesis, ph.d,,
Need to learn and perform graph based data analysis in cyber security domain for my Master's thesis.,thesis, thesis,,
I need this dataset to infer what is the relevant information to answering queries in cyber situation assessment for my PhD-thesis research,thesis, phd,,
Need to evaluate if a new warm spread model can approximate the worm spread for my PhD-thesis.    ,thesis, phd,evaluation, evaluat
Learn about the communication behavior of malware to create a graph-based model for APT detection for my PhD research,thesis, phd,,
"This is for my PhD Project. I am measuring network analysts performance shutting down attacks through the use of Splunk Enterprise. I am looking for a DDoS attack and a APT attack. This will serve as the DDoS. I also requested the Syn-ack request, but I want this one instead.",thesis, phd,,
This data is going to be used for evaluating the practicality of machine learning algorithms in detecting network level events. This is for my Ph.D research that investigates the use of machine learning to improve network management.,thesis, ph.d,evaluation, evaluat
I am working on my phd research based on anomaly detection and checking this data for experiments will be hopefully very useful.,thesis, phd,,
Studying anomaly detection for my phd research. I've used part of the data while UCSD was still maintaining it. This transfer to IMPACT has seriously affected the timeline of my research deliverable. I request access to this dataset. Will appreciate if it be done sooner rather than later.,thesis, phd,,
"My thesis topic is intrusion/attack detection using Machine learning and for this purpose I need these data sets",thesis, thesis,,
I am working on my Masters of Science in Computer Science-Cybersecurity. So i am researching major attacks used against computer systems and possible countermeasures. The use of data will allow me to do beginner statistical analysis for my project. ,thesis, master,,
"The dataset will possibly be used in a PhD dissertation study of intrusion detection systems looking into the effects of intrusion detection system latency in relation to cyber attacks.  The data will be statistically studied using a quantitative methodology and findings will be reported anonymously.It the dataset does not contain what information is needed, it will not be used.",thesis, phd,,
"This data will be utilized to drive:(i) the cyber situation assessment research being conducted by a PhD student under my supervision. The research will be used to carry out data fusion of multiple data sets to create cyber situation awareness.  (ii) Visualize the progression of DoS attacks ",thesis, phd,,
"I am doing Master's thesis in networking and wanted to work on network traffic related data sets.Our main aim is to design a traffic analysis toolbox using Matlab, which would help a novice in performing all statistical operations pertaining to network traffic data. I am collecting data from different universities/sources, in order to validate my codes in MATLAB.I require the network traffic datasets, in order to carry out the visualization and perform statistical analysis on data.This would help us understand various factors which helps in either increase/decrease in network related performance such as end to end latency, traffic flow analysis, thresholding( critical alarms), link utilization and short/long term traffic.Which would further help in may be utilizing the resources to an optimum/acceptable level, so that one could decide where the entire bandwidth is been used/how effectively one could use it, depending upon the results obtained. ",thesis, thesis,,
For cyber security club exercises. We want to look at what the red team does to better train our team and also learn how to analyze traffic,,,,
"The motivation of the project is to develop a comprehensive system that will capture the Internet topology at fine granularity and periodicallyprovide snapshots of the Internet backbone. The mapping system will then be utilized to investigate topological characteristics of the Internet andprovide an underlay for applications to optimize their communications. Compared to the existing Internet topology measurement platforms, thesystem will (i) build Internet topology graphs with higher accuracy as the system integrates several mechanisms to efficiently handle large-scalemeasurement data; (ii) work at higher level of granularity by providing backbone topology maps at link layer; (iii) periodically release annotatednetwork topologies in addition to the raw measurement data so that the community can utilize them in their experiments and optimize networkcommunications; (iv) help in understanding Internet topology dynamics and providing network enhancements; and (v) provide a graph indexing toolto process and analyze large-scale networks. In particular, we will be using the IP addresses discovered(actively responding to the ICMP calls) in thisdataset as feed to our probing system to further expand our target range in our measurement campaign. Web Page of our project can be found inthis link: im.cse.unr.edu",,,,
Attempting to leverage modern classification techniques to attempt to predict DoS attacks.,,,,
Large-scale ELK analysis of network security traffic.  Identification of behavioral trends that can be used to enhance defenses.,,,,
Internal ICMP_ECHO_REPLY comparison with GT-based IPv4-wide ping sweep.,,,,
Requesting an update on the previous data obtained to better understand regional physical infrastructure of the Internet,,,,
"Hi, I'm working on big data visualization and pattern recognition, from a cybersecurity perspective. Your dataset would help me research proper patterns to help identify threats.",,,,
I'm working on a big data visualization tool and this dataset would help my work in identifying data visual patterns. Thank you!,,,,
Need to do a cross domain privacy sharing predictive analysis based on different times.,,,,
Need to do a cross domain privacy sharing predictive analysis.,,,,
To test a DDoS detection technique.,,,,
"The motivation of the project is to develop a comprehensive system that will capture the Internet topology at fine granularity and periodically provide snapshots of the Internet backbone. The mapping system will then be utilized to investigate topological characteristics of the Internet and provide an underlay for applications to optimize their communications. Compared to the existing Internet topology measurement platforms, the system will (i) build Internet topology graphs with higher accuracy as the system integrates several mechanisms to efficiently handle large-scale measurement data; (ii) work at higher level of granularity by providing backbone topology maps at link layer; (iii) periodically release annotated network topologies in addition to the raw measurement data so that the community can utilize them in their experiments and optimize network communications; (iv) help in understanding Internet topology dynamics and providing network enhancements; and (v) provide a graph indexing tool to process and analyze large-scale networks.In particular, we will be using the IP addresses discovered(actively responding to the ICMP calls) in this dataset as feed to our probing system to further expand our target range in our  measurement campaign.Web Page of our project can be found in this link: im.cse.unr.edu",,,,
"Our dependence of the internet has grown much faster than our understandingof its underlying structure, global dynamics, operational threats, and overallhealth. Large-scale internet service disruptions due to malware and/orpolitically motivated activities occur with some regularity.We have developed a methodology that uses dark space data from the UCSDNetwork Telescope, that identifies networks affected by an outage, anddetermines what techniques are used to cause deliberate disruption.We obtain metrics to quantitatively gauge the geographic and topologicalextent of the impact of geophysical disasters on internet infrastructure,and techniques to investigate the chronological dynamics of the outageand restoration.The USC Lander datasets provide reference information on normally reachablehosts/networks for the study and targeted analysis of these large-scaleinternet outages",,,,
"Our dependence of the internet has grown much faster than our understandingof its underlying structure, global dynamics, operational threats, and overallhealth. Large-scale internet service disruptions due to malware and/orpolitically motivated activities occur with some regularity.We have developed a methodology that uses dark space data from the UCSDNetwork Telescope, that identifies networks affected by an outage, anddetermines what techniques are used to cause deliberate disruption.We obtain metrics to quantitatively gauge the geographic and topologicalextent of the impact of geophysical disasters on internet infrastructure,and techniques to investigate the chronological dynamics of the outageand restoration.The USC Lander datasets provide reference information on normally reachablehosts/networks for the study and targeted analysis of these large-scaleinternet outages",,,,
Examining how certificates for the same site differ depending on where the client is located,,,,
"Hi, We are designing an anomaly detection system (on the victim side) for NIST. This dataset will be analyzed to capture the behavior of DoS attack for our research.Thank you!Best,Kang-Hao PengThanks!Kang-Hao Peng",,,,
We are designing an anomaly detection system (on the victim side) for NIST. This dataset will be analyzed to capture the uniform attack behavior for our research. ,,,,
"This data will be used to test new visualization tool for big data that I am currently researching at CMU, using a modified directed forced graph, whose (ultimate) purpose is using visual pattern recognition in aiding in cybersecurity threat detection and pattern recognition. The point behind it is to visualize the data in a way that conveys more information than what a text based medium could. I need this particular data to test specific cases and see how can the visualization be improved.",,,,
"This data will be used to test new visualization tool for big data that I am currently researching at CMU, using a modified directed forced graph, whose (ultimate) purpose is using visual pattern recognition in aiding in cybersecurity threat detection and pattern recognition. The point behind it is to visualize the data in a way that conveys more information than what a text based medium could. I need this particular data to test specific cases and see how can the visualization be improved.",,,,
"Conducting undergraduate research regarding IoT botnet behavior. Attempts to use a series of tools and methods, (such as multiresolution analysis), in order to determine the extent to which Mirai botnet behavior is detectable. Also interested in extending this behavior to similar IoT botnets, that are derivations of Mirai (possibly with extended capabilities). ",,,,
Will use the dataset to study the pattern of the flow in attack and then compare it with the pattern seen for normal datasets.,,,,
"Government funded research to benefit humanitarian aid and disaster relief community. Looking to see if we can correlate changes in network host reponsiveness with power outages/loss of communications infrastructure.",,,,
"Government funded research to benefit humanitarian aid and disaster relief community. Looking to see if we can correlate changes in BGP data with power outages/loss of communications infrastructure.",,,,
Government funded research to benefit humanitarian aid and disaster relief community. Looking to see if we can correlate changes in BGP routing data with loss of power/communications infrastructure.,,,,
need to analyse the dataset to obtain a pattern in attack flow to conduct the experiment and write a paper.,,,,
"Hello,I am a research assistant of Professor Richard La in University of Maryland - College Park. We are interested in the anomaly detection of network traffic. We need the CAIDA dataset to correctly model the DDoS behavior in our aggregate traffic thus improve our system's performance. Thank you.Sincerely,Kang-Hao Peng",,,,
"As a presenter at the Florida Academy of Sciences (FAS) conference 2017 to be held in March, I am conducting experiments in netflow classification. My research is intended to provide benchmarks for researchers in the cybersecurity community regarding the use of three data mining algorithms. Specifically, the title of my presentation is ""A Comparison of Performances of ID3, Random Forest, and One-R in the classification of Netflow data"" For information on FAS, please visit http://www.floridaacademyofsciences.org/.",,,,
Government funded research to benefit the humanitarian aid and disaster relief community. Looking to see if we can correlate reduction in/absence of this kind of network traffic with power outages/loss of communications infrastructure after a disaster.,,,,
Government funded research to benefit humanitarian aid and disaster relief community. Looking to see if we can correlate reduction in this type of network traffic with power outages/loss of communications infrastructure.,,,,
I will study the relationship between access to the Internet and proximity to Internet infrastructure using an instrumental variables procedure for my academic research.,,,,
Seeking to study new relationships between proximity to fiber line cables and access to Internet services using instrumental variable regression techniques for my academic research.,,,,
"I have several aspirational uses for this data:(1) Graph analytics (degree distribution, clustering coefficient, degree centrality, PageRank, etc.) on DoS log data. (2) Use the graphs and analyses from (1)  -- in the form of matrices -- to train a neural network (a common feed-forward NN at first, then perhaps a convolutional NN) to recognize DoS attacks.(3) Compare the ""ML on graphs"" approach from (2) to the more traditional ML on raw log data approaches.(4) Compare the NN approaches of (2) and (3) with other ML techniques: SVM, decision trees, regressions, etc.(5) Static Data Quality measures on this data. (DQ is a vague field, but I'm going to try to make it more precise for real-world use cases.)(6) Dynamic Data Quality measures of this data, as it is a time-series. (DDQ is brand new!)",,,,
Doctorate Research GWU security event identification within companies. ,,,,
Use for doctorate research GWU in regards to security event identification.  ,,,,
"DSHIELD and GT Malware will be used to build and test a Security Analytics project, ",,,,
"DSHIELD and GT Malware will be used to build and test a Security Analytics project,",,,,
To train classifiers for attack detection ,,,,
We will perform time series analyses with this malware data. ,,,,
Will correlate events in cyber security data with known events of interest in service of research on non-traditional indirect indicators and warning,,,,
Develop predictive models of cyber attacks for the IARPA CAUSE program,,,,
Need to recreate results from the SIGCOMM paper that uses this data ,,,,
I am measuring analyst performance shutting down a DOS attack and a APT attack through the Splunk Enterprise. This serves as my DOS attack unless you suggest a better one. Next I will request the APT attack.,,,,
Evaluate new statistical approach for modeling conficker worm in my research,,,,
"I am doing a project on DDoS detection for my Network Forensics class at John Jay College.  At the moment I'm comparing the 2007 DDoS dataset from CAIDA with their 2016 network trace, using a variety of analysis tools.  The purpose of the project is to hypothesize criteria for finding (or finding suggestions of) DDoS traffic or botnet recruitment.  So far I'm primarily using self-written Python scripts to process .pcaps, and SiLK for flow data.  ",,,,
"We are studying query volume and replica selection anomalies associated with the d-root name server and would like to integrate broader statistics to determine whether events observed in samples of d-root also appear more broadly, or conversely, whether events occur but are missed by our approach or data.  We expect that routing information may explain replica selection anomalies and traffic volume shifts.",,,,
This data will be used for academic research on statistical inference for cyber attacking patterns over time and over IP addresses. ,,,,
"I am trying to build a simulation model for cyber-attacks, primarily network based attacks. I am going to use the dataset to verify the simulation results.",,,,
I plan to use the data to create simulation model to test different types of cyber-attacks.,,,,
"We want to study the dataset and build a Machine Learning based model to detect malicious traffic. How we can avoid the false alarm conditions and a really really fast model. In real time, we have to take decision promptly. After receiving the dataset we can analyze and construct features from it.",,,,
Import in the Splunk lookup for ip tagging purposes. Thank you. Splunk queries limited to the team of 4.,,,,
To investigate spam campaigns from malware,,,,
"Re: DSR-158We plan on building on the work in ÃƒÂ¢Ã‚â‚¬Ã‚Å“Day After Patch Tuesday Effects Observable in IP Darkspace TrafficÃƒÂ¢Ã‚â‚¬Ã‚Âù (Tanja Zseby, Alistair King, Nevil Brownlee, and K. C. Claffy, 2013) by expanding the focus to a comparative analysis of other network facing software, as well as moving towards a different statistical approach (Net increase in traffic, rather than increased unique source IPs).We plan on analyzing the difference from the mean traffic on that day of week for the affected protocol. Ãƒâ€_Ã‚Â We will use the ÃƒÂ¢Ã‚â‚¬Ã‚Å“Patch Tuesday DatasetÃƒÂ¢Ã‚â‚¬Ã‚Âù, normalized based on standard traffic for that weekday and other factors, such as simultaneous patching, to endeavor to sort which service patches lead to the largest increase in traffic.",,,,
"We are studying RR support on the internet.  We begin by sending an RR ping to a hitlist destination for each BGP prefix.  For prefixes whose hitlist IP does not respond, we need other historically active IPs to ping.  For larger aggregates (e.g. /16) we can choose other hitlist destinations, however for /24 networks, we need other candidates.",,,,
for investigating internet-wide scanners.,,,,
I will use this data set as a base for my project for  the course(Quantitative Methods and Experimental Design in CS ) . I will apply quantitative analysis methods on this set and build statistical profile for anomaly and normal traffic,,,,
This dataset would be used as a basis for generating an extensive inter-AS connectivity map (with a city granularity) for the US. This dataset is needed since it outlines the fiber infrastructure of the US and could facilitate in creating this map.,,,,
I will use this data set as a base for my project in the course(Quantitative Methods and Experimental Design in CS ) . I will apply quantitative analysis methods on this set.,,,,
Discover previously-unknown amplification vulnerable UDP protocols,,,,
"Two fold:1) To develop a course for graduate students on the use of big data and machine learning techniques to identify performance and network anomalies.2) To develop machine learning techniques to identify performance and network anomalies and to categorize them.",,,,
The data will be used in an ongoing study on the current state of IPv4 Record Route support on the internet.  Selected addresses will be pinged with RR packets to asses the responsiveness and reachability from our vantage points.,,,,
The data-set will be used in an empirical study to improve classification performance of different algorithms by alleviating data quality challenges (e.g. Class imbalance),,,,
"Only internally as test data for the algorithms we developed. We have some recent results hopefully can be used to identify suspicious sequences of events, which we would like to have some realistic data to test on, in order to verify the ideas. ",,,,
Research improves cyber-security.,,,,
We are interested in enriching our monitoring infrastructure with DNS data from malware datasets. These network IOCs can be tagged in our sensors for followup.,,,,
We will use it to validate our findings about biases of passive observation,,,,
Research project for DDoS Detection,,,,
Graph mining research,,,,
Data will be used in our IDS model.,,,,
It will be used as a test data set for testing our IDS model,,,,
for the education of the faculty member,,,,
We're researching alternate paths/locations for our disaster recovery/business continuity program.,,,,
Investigating Internet-wide Scanners,,,,
Conduct network research and data analysis to identify new methods for communicating in an emerging technical environment. Develop and test algorithms that may be applied to additional data sets.,,,,
DDoS detection/mitigation algorithm research.,,,,
DDoS detection/mitigation algorithm research,,,,
"I am part of a project group that is exploring the potential of an adaptive, distributed DDoS detection system.  To test our system, I plan to make use of the tools available for replaying attack traffic within DeterLab (http://deter-project.org/about_deterlab).  For this reason, I am seeking access to publicly available DDoS datasets, and particularly those that involve packet data.",,,,
Evaluate the performance of a SDN architecture for research purposes,,,,
Project looking at the effects of cable connection on political outcomes in West Africa.,,,,
We will use this dataset to test our attack detection tool,,,,
We will test our attack detection tool on this dataset,,,,
We will test our attack detection tool with this dataset,,,,
learning/testing of IDS system,,,,
Project looking at the effects of the Internet on political participation,,,,
Project looking at the effects of the Internet on political participation in the US,,,,
Working on a research paper which is an extension of other papers my team has worked on with this particular data set.,,,,
The data will be used for research purposes. The research aims to find a way to detect and mitigate attacks with a network based attack vector in a cloud environment,,,,
Training/Testing for DDoS detection algorithm,,,,
