Paper, URL, Conference, Year
"Reliable Third-Party Library Detection in Android and its Security Applications.",http://doi.acm.org/10.1145/2976749.2978333,ccs,2016
"Membership Privacy in MicroRNA-based Studies.",http://doi.acm.org/10.1145/2976749.2978355,ccs,2016
"Computational Soundness for Dalvik Bytecode.",http://doi.acm.org/10.1145/2976749.2978418,ccs,2016
"A Protocol for Privately Reporting Ad Impressions at Scale.",http://doi.acm.org/10.1145/2976749.2978407,ccs,2016
"MPC-Friendly Symmetric Key Primitives.",http://doi.acm.org/10.1145/2976749.2978332,ccs,2016
"Deep Learning with Differential Privacy.",http://doi.acm.org/10.1145/2976749.2978318,ccs,2016
"C-FLAT: Control-Flow Attestation for Embedded Systems Software.",http://doi.acm.org/10.1145/2976749.2978358,ccs,2016
"A Surfeit of SSH Cipher Suites.",http://doi.acm.org/10.1145/2976749.2978364,ccs,2016
"Chainsaw: Chained Automated Workflow-based Exploit Generation.",http://doi.acm.org/10.1145/2976749.2978380,ccs,2016
"SANA: Secure and Scalable Aggregate Network Attestation.",http://doi.acm.org/10.1145/2976749.2978335,ccs,2016
"High-Throughput Semi-Honest Secure Three-Party Computation with an Honest Majority.",http://doi.acm.org/10.1145/2976749.2978331,ccs,2016
"SFADiff: Automated Evasion Attacks and Fingerprinting Using Black-box Differential Automata Learning.",http://doi.acm.org/10.1145/2976749.2978383,ccs,2016
"Mix&amp;Slice: Efficient Access Revocation in the Cloud.",http://doi.acm.org/10.1145/2976749.2978377,ccs,2016
"Garbling Gadgets for Boolean and Arithmetic Circuits.",http://doi.acm.org/10.1145/2976749.2978410,ccs,2016
"Strong Non-Interference and Type-Directed Higher-Order Masking.",http://doi.acm.org/10.1145/2976749.2978427,ccs,2016
"Differentially Private Bayesian Programming.",http://doi.acm.org/10.1145/2976749.2978371,ccs,2016
"Advanced Probabilistic Couplings for Differential Privacy.",http://doi.acm.org/10.1145/2976749.2978391,ccs,2016
"Message-Recovery Attacks on Feistel-Based Format Preserving Encryption.",http://doi.acm.org/10.1145/2976749.2978390,ccs,2016
"Optimizing Semi-Honest Secure Multiparty Computation for the Internet.",http://doi.acm.org/10.1145/2976749.2978347,ccs,2016
"On the Practical (In-)Security of 64-bit Block Ciphers: Collision Attacks on HTTP over TLS and OpenVPN.",http://doi.acm.org/10.1145/2976749.2978423,ccs,2016
"Statistical Deobfuscation of Android Applications.",http://doi.acm.org/10.1145/2976749.2978422,ccs,2016
"Slitheen: Perfectly Imitated Decoy Routing through Traffic Replacement.",http://doi.acm.org/10.1145/2976749.2978312,ccs,2016
"Coverage-based Greybox Fuzzing as Markov Chain.",http://doi.acm.org/10.1145/2976749.2978428,ccs,2016
"Frodo: Take off the Ring! Practical, Quantum-Secure Key Exchange from LWE.",http://doi.acm.org/10.1145/2976749.2978425,ccs,2016
"∑oφoς: Forward Secure Searchable Encryption.",http://doi.acm.org/10.1145/2976749.2978303,ccs,2016
"Function Secret Sharing: Improvements and Extensions.",http://doi.acm.org/10.1145/2976749.2978429,ccs,2016
"Content Security Problems?: Evaluating the Effectiveness of Content Security Policy in the Wild.",http://doi.acm.org/10.1145/2976749.2978338,ccs,2016
"Measurement and Analysis of Private Key Sharing in the HTTPS Ecosystem.",http://doi.acm.org/10.1145/2976749.2978301,ccs,2016
"On the Instability of Bitcoin Without the Block Reward.",http://doi.acm.org/10.1145/2976749.2978408,ccs,2016
"BeleniosRF: A Non-interactive Receipt-Free Electronic Voting Scheme.",http://doi.acm.org/10.1145/2976749.2978337,ccs,2016
"Transparency Overlays and Applications.",http://doi.acm.org/10.1145/2976749.2978404,ccs,2016
"A Systematic Analysis of the Juniper Dual EC Incident.",http://doi.acm.org/10.1145/2976749.2978395,ccs,2016
"Host of Troubles: Multiple Host Ambiguities in HTTP Implementations.",http://doi.acm.org/10.1145/2976749.2978394,ccs,2016
"Error Handling of In-vehicle Networks Makes Them Vulnerable.",http://doi.acm.org/10.1145/2976749.2978302,ccs,2016
"Λολ: Functional Lattice Cryptography.",http://doi.acm.org/10.1145/2976749.2978402,ccs,2016
"Differential Privacy as a Mutual Information Constraint.",http://doi.acm.org/10.1145/2976749.2978308,ccs,2016
"SandScout: Automatic Detection of Flaws in iOS Sandbox Profiles.",http://doi.acm.org/10.1145/2976749.2978336,ccs,2016
"Alternative Implementations of Secure Real Numbers.",http://doi.acm.org/10.1145/2976749.2978348,ccs,2016
"Secure Stable Matching at Scale.",http://doi.acm.org/10.1145/2976749.2978373,ccs,2016
"Practical Detection of Entropy Loss in Pseudo-Random Number Generators.",http://doi.acm.org/10.1145/2976749.2978369,ccs,2016
"What Else is Revealed by Order-Revealing Encryption?",http://doi.acm.org/10.1145/2976749.2978379,ccs,2016
"Private Circuits III: Hardware Trojan-Resilience via Testing Amplification.",http://doi.acm.org/10.1145/2976749.2978419,ccs,2016
"Online Tracking: A 1-million-site Measurement and Analysis.",http://doi.acm.org/10.1145/2976749.2978313,ccs,2016
"Covert Channels through Random Number Generator: Mechanisms, Capacity Estimation and Mitigations.",http://doi.acm.org/10.1145/2976749.2978374,ccs,2016
"Attacking OpenSSL Implementation of ECDSA with a Few Signatures.",http://doi.acm.org/10.1145/2976749.2978400,ccs,2016
"Scalable Graph-based Bug Search for Firmware Images.",http://doi.acm.org/10.1145/2976749.2978370,ccs,2016
"On the Provable Security of (EC)DSA Signatures.",http://doi.acm.org/10.1145/2976749.2978413,ccs,2016
"A Comprehensive Formal Security Analysis of OAuth 2.0.",http://doi.acm.org/10.1145/2976749.2978385,ccs,2016
"Hash First, Argue Later: Adaptive Verifiable Computations on Outsourced Data.",http://doi.acm.org/10.1145/2976749.2978368,ccs,2016
""Make Sure DSA Signing Exponentiations Really are Constant-Time".",http://doi.acm.org/10.1145/2976749.2978420,ccs,2016
"ECDSA Key Extraction from Mobile Devices via Nonintrusive Physical Side Channels.",http://doi.acm.org/10.1145/2976749.2978353,ccs,2016
"On the Security and Performance of Proof of Work Blockchains.",http://doi.acm.org/10.1145/2976749.2978341,ccs,2016
"On the Security of Cracking-Resistant Password Vaults.",http://doi.acm.org/10.1145/2976749.2978416,ccs,2016
"Breaking Web Applications Built On Top of Encrypted Data.",http://doi.acm.org/10.1145/2976749.2978351,ccs,2016
"Prefetch Side-Channel Attacks: Bypassing SMAP and Kernel ASLR.",http://doi.acm.org/10.1145/2976749.2978356,ccs,2016
"TypeSan: Practical Type Confusion Detection.",http://doi.acm.org/10.1145/2976749.2978405,ccs,2016
"PhishEye: Live Monitoring of Sandboxed Phishing Kits.",http://doi.acm.org/10.1145/2976749.2978330,ccs,2016
"PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration.",http://doi.acm.org/10.1145/2976749.2978317,ccs,2016
"Leave Your Phone at the Door: Side Channels that Reveal Factory Floor Secrets.",http://doi.acm.org/10.1145/2976749.2978323,ccs,2016
"An In-Depth Study of More Than Ten Years of Java Exploitation.",http://doi.acm.org/10.1145/2976749.2978361,ccs,2016
"Enforcing Least Privilege Memory Views for Multithreaded Applications.",http://doi.acm.org/10.1145/2976749.2978327,ccs,2016
"MERS: Statistical Test Generation for Side-Channel Analysis based Trojan Detection.",http://doi.acm.org/10.1145/2976749.2978396,ccs,2016
"Breaking Kernel Address Space Layout Randomization with Intel TSX.",http://doi.acm.org/10.1145/2976749.2978321,ccs,2016
"Safely Measuring Tor.",http://doi.acm.org/10.1145/2976749.2978310,ccs,2016
