Paper, URL, Conference, Year,data,description,pdfName
(Un)linkable Pseudonyms for Governmental Databases.,http://doi.acm.org/10.1145/2810103.2813658,ccs,2015,,,
A Cryptographic Analysis of the TLS 1.3 Handshake Protocol Candidates.,http://doi.acm.org/10.1145/2810103.2813653,ccs,2015,,,
A Domain-Specific Language for Low-Level Secure Multiparty Computation Protocols.,http://doi.acm.org/10.1145/2810103.2813664,ccs,2015,,,
A Generic Approach to Automatic Deobfuscation of Executable Code.,https://doi.org/10.1109/SP.2015.47,sp,2015,,,
A Measurement Study on Co-residence Threat inside the Cloud.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/xu,uss,2015,,,
A Messy State of the Union: Taming the Composite State Machines of TLS.,https://doi.org/10.1109/SP.2015.39,sp,2015,,,
A Multi-Modal Neuro-Physiological Study of Phishing Detection and Malware Warnings.,http://doi.acm.org/10.1145/2810103.2813660,ccs,2015,,,
A Placement Vulnerability Study in Multi-Tenant Public Clouds.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/varadarajan,uss,2015,,,
A Search Engine Backed by Internet-Wide Scanning.,http://doi.acm.org/10.1145/2810103.2813703,ccs,2015,,,
A Short Paper on the Incentives to Share Private Information for Population Estimates.,https://doi.org/10.1007/978-3-662-47854-7_25,fc,2015,,,
ABY - A Framework for Efficient Mixed-Protocol Secure Two-Party Computation.,http://www.internetsociety.org/doc/aby---framework-efficient-mixed-protocol-secure-two-party-computation,ndss,2015,,,
Accelerating SWHE Based PIRs Using GPUs.,https://doi.org/10.1007/978-3-662-48051-9_12,fcw,2015,,,
Ad Injection at Scale: Assessing Deceptive Advertisement Modifications.,https://doi.org/10.1109/SP.2015.17,sp,2015,,,
ADSNARK: Nearly Practical and Privacy-Preserving Proofs on Authenticated Data.,https://doi.org/10.1109/SP.2015.24,sp,2015,,,
Affiliate Crookies: Characterizing Affiliate Marketing Abuse.,http://doi.acm.org/10.1145/2815675.2815720,imc,2015,,,
All Your Biases Belong to Us: Breaking RC4 in WPA-TKIP and TLS.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/vanhoef,uss,2015,,,
An Empirical Study of Web Vulnerability Discovery Ecosystems.,http://doi.acm.org/10.1145/2810103.2813704,ccs,2015,,,
An End-to-End Measurement of Certificate Revocation in the Web's PKI.,http://doi.acm.org/10.1145/2815675.2815685,imc,2015,,,
Analyzing the Performance of an Anycast CDN.,http://doi.acm.org/10.1145/2815675.2815717,imc,2015,,,
Anatomization and Protection of Mobile Apps' Location Privacy Threats.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/fawaz,uss,2015,,,
Android Permissions Remystified: A Field Study on Contextual Integrity.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/wijesekera,uss,2015,,,
Android Root and its Providers: A Double-Edged Sword.,http://doi.acm.org/10.1145/2810103.2813714,ccs,2015,,,
Annoyed Users: Ads and Ad-Block Usage in the Wild.,http://doi.acm.org/10.1145/2815675.2815705,imc,2015,,,
Anonymous and Publicly Linkable Reputation Systems.,https://doi.org/10.1007/978-3-662-47854-7_29,fc,2015,,,
Are We One Hop Away from a Better Internet?,http://doi.acm.org/10.1145/2815675.2815719,imc,2015,,,
Are You at Risk? Profiling Organizations and Individuals Subject to Targeted Attacks.,https://doi.org/10.1007/978-3-662-47854-7_2,fc,2015,,,
ASLR-Guard: Stopping Address Space Leakage for Code Reuse Attacks.,http://doi.acm.org/10.1145/2810103.2813694,ccs,2015,,,
Attacks Only Get Better: Password Recovery Attacks Against RC4 in TLS.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/garman,uss,2015,,,
Augmented Learning with Errors: The Untapped Potential of the Error Term.,https://doi.org/10.1007/978-3-662-47854-7_20,fc,2015,,,
Authenticating Privately over Public Wi-Fi Hotspots.,http://doi.acm.org/10.1145/2810103.2813647,ccs,2015,,,
Automated Analysis and Synthesis of Authenticated Encryption Schemes.,http://doi.acm.org/10.1145/2810103.2813636,ccs,2015,,,
Automated Attacks on Compression-Based Classifiers.,http://doi.acm.org/10.1145/2808769.2808778,ccsaisec,2015,,,
Automated Proofs of Pairing-Based Cryptography.,http://doi.acm.org/10.1145/2810103.2813697,ccs,2015,,,
Automated Symbolic Proofs of Observational Equivalence.,http://doi.acm.org/10.1145/2810103.2813662,ccs,2015,,,
Automated Synthesis of Optimized Circuits for Secure Computation.,http://doi.acm.org/10.1145/2810103.2813678,ccs,2015,,,
Automatic Generation of Data-Oriented Exploits.,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/hu,uss,2015,,,
